Species,Brain volume,Iso- and periallo Cx GM volume,Sub iso- and periallo Cx WM volume,CPu,DTh,Cl,HF,Ent,MOB & AOB,AO&,Amg,Spt
Acrobates_pygmaeus,272,41.3,3.6,6.49,6.97,0.36,19.8,3.94,12.2,4.24,3.16,0.92
Distoechurus_pennatus,1126,275,21.9,42.1,40.5,7.31,76.4,12.1,45.4,26.1,26.1,2.14
Burramys_parvus,899,140,22.5,31.1,32.9,0.53,63.8,7.25,NA,22.4,4.8,4.53
Hypsiprymnodon_moschatus,5843,1210,164,147,186,8.47,539,184,241,172,74.5,22.9
Potorous_tridactylus,8333,1736,397,264,327,10.6,816,192,434,274,63.9,20.2
Bettongia_garmardi,10612,2284,559,309,300,14.4,940,414,238,173,202,39.5
Aepyprymnus_rufescens,13783,3236,997,230,456,8.84,1452,544,NA,106,301,61.6
Thylogale_stigmatica,19418,4865,1440,510,752,18.2,1380,342,344,315,140,104
Thylogale_thetis,16781,4663,1185,424,737,6.31,1650,425,383,169,187,94.7
Petrogale_brachyotis,11670,3065,684,352,396,13.6,1158,297,458,253,187,34.1
Petrogale_herberti,22291,5001,1735,486,588,18,1727,523,365,212,208,77.2
Petrogale_godmani,16997,3657,1331,384,287,18.2,1211,269,358,252,100,67.6
Petrogale_inornata,18624,4091,1339,509,347,28.8,1792,496,256,215,144,95.7
Petrogale_penicillata,18470,5064,1411,558,640,18,1368,142,325,256,144,59.9
Petrogale_lateralis,14399,4051,932,408,450,22.8,1219,253,382,189,162,87.8
Petrogale_purpureicollis,17042,4039,1270,424,500,14.9,1480,256,325,246,211,88.4
Petrogale_puella_(assimilis),16073,3400,1436,421,528,33.7,1247,308,249,252,186,78.3
Petrogale_concinna,8420,1699,647,255,177,8.44,678,205,221,91.1,91.1,38.2
Lagorchestes_conspicillatus,12876,2639,1147,424,690,29.4,838,197,292,252,143,76
Macropus_agilis,29141,6847,3388,896,1157,56.6,1757,660,603,400,146,108
Macropus_antilopinus,49202,11882,6669,1144,1048,93.1,3992,1069,692,529,331,154
Macropus_bernardus,35661,8480,4480,1198,942,34,2032,419,666,471,246,173
Macropus_dorsalis,27326,5955,2524,778,610,59.5,1812,493,548,384,241,193
Macropus_eugenii,15421,5779,1502,436,569,NA,1646,409,NA,396,NA,NA
Macropus_irma,22794,5270,2350,862,772,32.2,1798,403,473,353,311,106
Macropus_parma,16595,4335,1847,449,852,26.7,1258,246,236,223,271,51.1
Macropus_parryi,25659,5727,3244,742,582,50.3,1800,329,488,66.5,312,84.7
Macropus_rufogriseus,34861,7744,3685,1053,1025,44.9,1256,245,750,546,319,94.4
Macropus_rufus,48846,12270,5718,1018,1480,65.4,3348,943,579,788,161,116
Wallabia_bicolor,36934,9385,3203,1092,637,48.3,2401,1028,706,598,165,58.9
Onychogalea_unguifera,17106,3995,1581,612,341,31,1449,322,400,366,170,79.7
Dendrolagus_goodfellowi,32826,8284,3271,929,742,18.6,2728,1376,254,443,257,46.1
Dendrolagus_lumholtzi,20635,5193,1810,811,629,33.8,1680,591,346,220,123,61.9
Dorcopis_luctuosa,14486,3563,1191,435,356,26.4,1126,350,432,268,182,31
Cercartetus_concinnus,346,59.7,7.36,13.2,11.8,0.46,39.1,8.26,11.2,7.85,2.25,3.59
Cercartetus_lepidus,352,46.6,7.54,14.8,11.7,0.45,37.8,7.18,14.7,7.88,1.57,0.88
Cercartetus_nanus,460,61.3,8.77,14.9,7.33,0.51,45.1,12.8,22,5.65,3.47,1.87
Gymnobelideus_leadbeateri,2631,449,63.1,104,104,27.9,121,16.4,92.3,48.1,47.1,10.2
Petaurus_australis,3494,881,239,128,111,7.15,184,77.7,103,52.5,46.1,10.2
Petaurus_norfolcensis,902,210,60.9,141,97.9,9.63,119,101,101,47,27.9,9.49
Pseudochirops_archeri,5487,1152,268,228,187,11.7,330,107,132,59,41.9,28.3
Pseudocheirus_canescens,2566,511,101,130,42.8,7.33,154,46.5,80.2,52.2,16.3,24.8
Pseudocheirus_cinereus,2759,549,149,108,52.1,2.56,171,46.6,71.1,49.6,24,20.5
Pseudochirops_cupreus,5865,1130,292,259,204,15.1,466,144,124,74,97.4,32.4
Petropseudes_dahli,3989,693,217,160,149,9.55,218,94.6,67.7,21.5,72.6,17.9
Pseudocheirus_forbesi,1141,224,45.5,47,47.1,3.56,93.7,24.9,22.8,16.1,21,11.3
Pseudocheirus_herbertensis,2642,392,115,221,90.8,4.34,229,46.5,89,29.8,93.9,6.24
Hemibelideus_lemuroides,3952,663,217,163,48.9,17,249,74.1,104,65.2,51.4,26.9
Pseudocheirus_peregrinus,5060,995,289,190,157,11.2,407,97.1,121,54.2,66.6,31.1
Trichosurus_arnhemensis,7812,1716,300,165,238,3.73,451,149,257,173,140,21
Trichosusus_caninus,14301,3320,829,378,535,19.8,1059,208,413,243,157,45.9
Phalanger_gymnotis,10072,1855,329,317,398,8.32,776,89.6,270,262,168,8.38
Phalanger_maculatus,14485,3490,579,398,592,18.1,1019,304,340,288,173,38.5
Phalanger_vestitus,7359,1668,298,309,288,7.15,560,121,202,153,121,13.8
Tarsipes_rostratus_(spencerae),441,88.8,5.45,11.3,7.8,2.41,48.1,6.04,18.5,11.4,4.04,0.48
Phascolarctos_cinereus,18323,4556,1375,386,716,42,826,259,346,257,261,109
Vombatus_ursinus,38696,10359,3689,993,1324,56.6,2014,509,84.8,36.6,317,18.6
Lasiorhinus_latifrons,41129,10382,3856,799,1612,135,1944,638,178,555,344,84.7
