,Bo,N,RH,PY,S,Di,STR,Hi,M,C,O,Sz,Dip
Petaurus,57.5,735.2,179.5,87.8,15.7,316.5,97.9,157.4,110.7,357.4,230.4,28.3,1
Schoinobates,113.8,1421.3,242,76.4,31.7,517.9,185,254.1,319.5,903.9,482,56.7,1
Pseudocheirus,95.5,1639.4,373,108.3,42.8,574.1,144.9,460.4,339.4,881,588.3,57.2,1
Trichosurus,308.4,4440.9,961.3,262.7,65.7,1250.9,527.2,671.1,509.3,1844.4,1181.3,112,1
Potorous,635,3875.5,1090.1,452.6,81.6,1124.4,381.8,1296.6,484,1435.9,784,107.4,1
Macropus_eugenii,308.8,4398.7,746.6,362.4,83.7,1350.4,361.3,967.7,533.2,1632.5,824,94.4,1
Setonix,289.2,4600.2,1045.4,341.1,80.1,1506.5,386.9,1123.4,792.5,2022.3,1225.3,87.4,1
Thylogale,646.8,9950.7,1672.7,446,99.3,2338.9,734.1,2004.6,980.7,3577.6,1830.8,137.5,1
Macropus_rufogriseus,555.3,14284.9,1823.1,360.7,111.5,3188.9,740.5,2261.6,1468,6281.4,3295.1,199.8,1
Macropus_giganteus,598.6,23932.6,3538.7,683.4,242.1,5768.6,1477.6,2874.1,1523,6883.9,3508.2,451.5,1
Vombatus,1378,24131,3229.9,1282.5,293.4,5236,1929.7,2887.9,1433.3,7094.6,3086.3,633.1,1
Marmosa_murina,39.5,176.5,68.6,34.1,7.8,61.3,24.6,63.2,71.1,98.3,83.2,4.2,2
Marmosa_domina,104.4,290,146,60.1,10.4,122.4,33.3,108.9,124.2,166.2,166.9,8.4,2
Marmosa_thylamys,141.2,448.8,225.8,125.8,12.2,167.6,52.9,200.2,206.5,273.7,176,34.6,2
Metachirops,203.1,759.7,385.2,141.6,24.1,265.9,72.7,257.7,197.9,412.4,346.3,22.8,2
Philander,341.3,904,418.9,235.9,30.7,341.1,109.4,373.9,295.5,563.4,402,33.9,2
Didelphis_aurita,372.7,1199.1,593.5,269.5,38.9,573,122.7,480.3,428.9,916.9,651.3,111.3,2
Didelphis_marsupialis,581.3,1446.2,805.6,378,60.8,638.5,202.3,536.4,379,852.6,66,38.3,2
Didelphis_virginiana,759.9,1681,1043.6,470.3,74.9,809.9,213.4,620.5,561.3,1407.9,844.4,40.1,2
Caluromys,180.8,965.1,342.9,177.3,40.1,527.5,110.4,360.3,350.1,686.6,498.5,54.5,2
Perameles,490.1,913.7,593.5,386.1,46.9,471.2,163.4,579.7,320.1,874.7,567.9,77.5,2
Isoodon,425.2,853.9,511.5,287.1,65.2,427.3,149.8,578.2,321.6,743.4,504.7,79.4,2
Antechinus,53.6,118.2,81.3,40.9,6.1,63.4,23.8,57.7,74.8,92.7,96.2,5.9,2
Sminthopsis,31.5,86.4,46.7,22.3,3.4,38.7,12.9,39.2,36.6,50.2,50.5,3.5,2
Dasyurus,461.7,1773.6,675.5,310.3,48.6,625.9,197.2,453,447.5,1100.2,660.9,69.1,2
Sarcophilus,1136,3733.4,1605.5,669.7,102,1472.5,493.4,823.3,923.8,2500.5,1519.6,172,2
